WTA,Location,Tournament,Date,Tier,Court,surface,Round,best_of,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL,tourney_date
1,Auckland,ASB Classic,2024-12-29,WTA250,Outdoor,Hard,1st Round,3,Hibino N.,Niemeier J.,145.0,89.0,496.0,816.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.91,1.91,1.86,2.01,1.91,2.01,1.84,1.95,,,20241229
1,Auckland,ASB Classic,2024-12-29,WTA250,Outdoor,Hard,1st Round,3,Tauson C.,Stefanini L.,50.0,146.0,1070.0,494.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.5,2.63,1.52,2.67,1.53,2.67,1.5,2.56,,,20241229
1,Auckland,ASB Classic,2024-12-30,WTA250,Outdoor,Hard,1st Round,3,Marino R.,Sun L.,102.0,40.0,756.0,1300.0,6.0,3.0,3.0,6.0,6.0,3.0,2.0,1.0,Completed,1.91,1.91,2.04,1.84,2.04,1.91,1.94,1.84,,,20241230
1,Auckland,ASB Classic,2024-12-30,WTA250,Outdoor,Hard,1st Round,3,Pera B.,Jimenez Kasintseva V.,71.0,156.0,896.0,465.0,6.0,2.0,7.0,5.0,,,2.0,0.0,Completed,1.57,2.38,1.63,2.39,1.63,2.44,1.59,2.32,,,20241230
1,Auckland,ASB Classic,2024-12-30,WTA250,Outdoor,Hard,1st Round,3,Osaka N.,Glushko L.,57.0,220.0,1014.0,323.0,6.0,4.0,6.0,4.0,,,2.0,0.0,Completed,1.06,10.0,1.08,9.69,1.08,13.0,1.06,8.96,,,20241230
1,Auckland,ASB Classic,2024-12-30,WTA250,Outdoor,Hard,1st Round,3,Grabher J.,Romero Gormaz L.,470.0,158.0,112.0,459.0,2.0,6.0,6.0,3.0,7.0,6.0,2.0,1.0,Completed,2.5,1.53,2.63,1.53,2.63,1.54,2.5,1.51,,,20241230
1,Auckland,ASB Classic,2024-12-30,WTA250,Outdoor,Hard,1st Round,3,Li A.,Stephens S.,96.0,74.0,787.0,882.0,5.0,7.0,6.0,4.0,6.0,4.0,2.0,1.0,Completed,1.67,2.2,1.59,2.47,1.68,2.47,1.61,2.29,,,20241230
1,Auckland,ASB Classic,2024-12-30,WTA250,Outdoor,Hard,1st Round,3,Volynets K.,Andreeva E.,58.0,83.0,991.0,838.0,6.0,4.0,6.0,7.0,6.0,2.0,2.0,1.0,Completed,2.1,1.73,2.03,1.85,2.1,1.91,1.99,1.8,,,20241230
1,Auckland,ASB Classic,2024-12-30,WTA250,Outdoor,Hard,1st Round,3,Cristian J.,Starodubtseva Y.,85.0,101.0,832.0,762.0,6.0,3.0,2.0,0.0,,,1.0,0.0,Retired,2.3,1.62,2.32,1.66,2.33,1.73,2.26,1.62,,,20241230
1,Auckland,ASB Classic,2024-12-30,WTA250,Outdoor,Hard,1st Round,3,Kenin S.,Wang Xiy.,81.0,98.0,848.0,774.0,7.0,6.0,6.0,1.0,,,2.0,0.0,Completed,1.8,2.0,1.84,2.04,2.0,2.12,1.85,1.93,,,20241230
1,Auckland,ASB Classic,2024-12-31,WTA250,Outdoor,Hard,1st Round,3,Baptiste H.,Jamrichova R.,92.0,372.0,805.0,164.0,6.0,0.0,6.0,2.0,,,2.0,0.0,Completed,1.4,3.0,1.41,3.09,1.44,3.09,1.4,2.89,,,20241231
1,Auckland,ASB Classic,2024-12-31,WTA250,Outdoor,Hard,1st Round,3,Keys M.,Bronzetti L.,21.0,73.0,2126.0,887.0,6.0,4.0,6.0,4.0,,,2.0,0.0,Completed,1.2,4.5,1.22,4.64,1.22,6.0,1.19,4.57,,,20241231
1,Auckland,ASB Classic,2024-12-31,WTA250,Outdoor,Hard,1st Round,3,Minnen G.,Friedsam A.L.,95.0,528.0,791.0,91.0,6.0,4.0,6.0,0.0,,,2.0,0.0,Completed,1.5,2.63,1.57,2.51,1.57,2.63,1.52,2.48,,,20241231
1,Auckland,ASB Classic,2024-12-31,WTA250,Outdoor,Hard,1st Round,3,Burrage J.,Yang V.,179.0,1139.0,398.0,11.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,1.13,6.0,,,1.14,6.0,1.12,5.71,,,20241231
1,Auckland,ASB Classic,2024-12-31,WTA250,Outdoor,Hard,1st Round,3,Montgomery R.,Hontama M.,117.0,157.0,639.0,459.0,6.0,0.0,2.0,6.0,6.0,0.0,2.0,1.0,Completed,1.44,2.75,1.52,2.62,1.52,3.05,1.45,2.69,,,20241231
1,Auckland,ASB Classic,2024-12-31,WTA250,Outdoor,Hard,1st Round,3,Parks A.,Anisimova A.,82.0,36.0,841.0,1461.0,2.0,6.0,6.0,2.0,6.0,3.0,2.0,1.0,Completed,3.4,1.33,3.39,1.35,3.4,1.39,3.17,1.34,,,20241231
1,Auckland,ASB Classic,2024-12-31,WTA250,Outdoor,Hard,2nd Round,3,Pera B.,Marino R.,71.0,102.0,896.0,756.0,7.0,6.0,6.0,4.0,,,2.0,0.0,Completed,1.8,2.0,1.71,2.22,1.84,2.22,1.76,2.05,,,20241231
1,Auckland,ASB Classic,2025-01-01,WTA250,Outdoor,Hard,2nd Round,3,Osaka N.,Grabher J.,57.0,470.0,1014.0,112.0,7.0,5.0,6.0,3.0,,,2.0,0.0,Completed,1.04,13.0,1.04,15.14,1.05,15.14,1.04,11.03,,,20250101
1,Auckland,ASB Classic,2025-01-01,WTA250,Outdoor,Hard,2nd Round,3,Tauson C.,Kenin S.,50.0,81.0,1070.0,848.0,4.0,6.0,7.0,6.0,7.0,6.0,2.0,1.0,Completed,1.67,2.2,1.74,2.19,1.74,2.2,1.7,2.14,,,20250101
1,Auckland,ASB Classic,2025-01-01,WTA250,Outdoor,Hard,2nd Round,3,Volynets K.,Li A.,58.0,96.0,991.0,787.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.73,2.1,1.78,2.13,1.8,2.15,1.74,2.08,,,20250101
1,Auckland,ASB Classic,2025-01-02,WTA250,Outdoor,Hard,2nd Round,3,Keys M.,Cristian J.,21.0,85.0,2126.0,832.0,6.0,1.0,6.0,2.0,,,2.0,0.0,Completed,1.14,5.5,1.19,5.14,1.2,5.5,1.17,4.87,,,20250102
1,Auckland,ASB Classic,2025-01-02,WTA250,Outdoor,Hard,2nd Round,3,Montgomery R.,Hibino N.,117.0,145.0,639.0,496.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,1.73,2.1,1.73,2.19,1.75,2.24,1.7,2.13,,,20250102
1,Auckland,ASB Classic,2025-01-02,WTA250,Outdoor,Hard,2nd Round,3,Parks A.,Minnen G.,82.0,95.0,841.0,791.0,7.0,5.0,6.0,3.0,,,2.0,0.0,Completed,1.91,1.91,1.97,1.9,2.0,2.01,1.9,1.88,,,20250102
1,Auckland,ASB Classic,2025-01-02,WTA250,Outdoor,Hard,2nd Round,3,Baptiste H.,Burrage J.,92.0,179.0,805.0,398.0,5.0,7.0,7.0,5.0,7.0,6.0,2.0,1.0,Completed,1.5,2.63,1.55,2.57,1.58,2.63,1.54,2.47,,,20250102
1,Auckland,ASB Classic,2025-01-02,WTA250,Outdoor,Hard,Quarterfinals,3,Montgomery R.,Pera B.,117.0,71.0,639.0,896.0,6.0,4.0,6.0,4.0,,,2.0,0.0,Completed,2.1,1.73,2.15,1.79,2.23,1.79,2.14,1.7,,,20250102
